时间,Bilibili评分,评价人数,1星,2星,3星,4星,5星,评价人数-评分人数
2023-04-04 18:40,8.5,3772,3762,398,61,287,221,2428
2023-04-04 18:41,8.5,3772,3762,398,61,287,221,2428
2023-04-04 18:42,8.5,3772,3762,398,61,287,221,2428
2023-04-04 18:43,8.5,3772,3762,398,61,287,221,2428
2023-04-04 18:44,8.5,3773,3763,399,61,287,221,2428
2023-04-04 18:45,8.5,3774,3764,399,61,287,221,2428
2023-04-04 18:46,8.5,3774,3764,399,61,287,221,2428
2023-04-04 18:47,8.5,3773,3763,399,61,286,221,2428
2023-04-04 18:48,8.5,3774,3764,400,61,286,221,2428
2023-04-04 18:49,8.5,3774,3764,399,62,286,221,2428
2023-04-04 18:50,8.5,3774,3764,400,61,286,221,2428
2023-04-04 18:51,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:52,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:53,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:54,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:55,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:56,8.5,3776,3766,400,61,287,221,2429
2023-04-04 18:57,8.5,3777,3767,401,61,287,221,2429
2023-04-04 18:58,8.5,3777,3767,401,61,287,221,2429
2023-04-04 18:59,8.5,3779,3769,401,61,287,221,2430
2023-04-04 19:00,8.5,3779,3769,401,61,287,221,2430
2023-04-04 19:01,8.5,3780,3770,401,61,287,221,2431
2023-04-04 19:02,8.5,3781,3771,401,61,288,221,2431
2023-04-04 19:03,8.5,3781,3771,401,61,288,221,2431
2023-04-04 19:04,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:05,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:06,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:07,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:08,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:09,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:10,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:11,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:12,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:13,8.5,3781,3771,400,61,289,221,2431
2023-04-04 19:14,8.5,3782,3772,400,61,289,221,2432
2023-04-04 19:15,8.5,3782,3772,400,61,289,221,2432
2023-04-04 19:17,8.5,3783,3773,401,61,289,221,2432
2023-04-04 19:18,8.5,3782,3772,401,61,289,221,2431
2023-04-04 19:19,8.5,3783,3773,401,61,289,221,2432
2023-04-04 19:20,8.5,3783,3773,401,61,289,221,2432
2023-04-04 19:21,8.5,3783,3773,401,61,289,221,2432
2023-04-04 19:22,8.5,3783,3773,401,61,289,221,2432
2023-04-04 19:23,8.5,3784,3774,402,61,289,221,2432
2023-04-04 19:24,8.5,3784,3774,402,61,289,221,2432
2023-04-04 19:25,8.5,3785,3775,403,61,289,221,2432
2023-04-04 19:26,8.5,3785,3775,403,61,289,221,2432
2023-04-04 19:27,8.5,3787,3777,403,62,289,221,2432
2023-04-04 19:28,8.5,3787,3777,403,62,289,221,2432
2023-04-04 19:29,8.5,3788,3778,403,62,289,221,2432
2023-04-04 19:30,8.5,3788,3778,403,62,289,221,2432
2023-04-04 19:31,8.5,3788,3778,403,62,289,221,2432
2023-04-04 19:32,8.5,3788,3778,403,62,289,221,2432
2023-04-04 19:33,8.5,3790,3780,403,62,289,221,2434
2023-04-04 19:34,8.5,3790,3780,403,62,289,221,2434
2023-04-04 19:35,8.5,3792,3782,404,62,289,221,2435
2023-04-04 19:36,8.5,3792,3782,404,62,289,221,2435
2023-04-04 19:37,8.5,3792,3782,404,62,289,221,2435
2023-04-04 19:38,8.5,3792,3782,404,63,289,221,2434
2023-04-04 19:39,8.5,3792,3782,404,63,289,221,2434
2023-04-04 19:40,8.5,3792,3782,404,63,289,221,2434
2023-04-04 19:41,8.5,3792,3782,404,63,289,221,2434
2023-04-04 19:42,8.5,3793,3783,404,63,289,221,2435
2023-04-04 19:43,8.5,3793,3783,404,63,289,221,2435
2023-04-04 19:44,8.5,3793,3783,404,63,289,221,2435
2023-04-04 19:45,8.5,3795,3785,404,63,289,221,2437
2023-04-04 19:46,8.5,3795,3785,404,63,289,221,2437
2023-04-04 19:47,8.5,3795,3785,404,63,289,221,2437
2023-04-04 19:48,8.5,3795,3785,404,63,289,221,2437
2023-04-04 19:49,8.5,3796,3786,404,63,289,221,2438
时间,Bilibili评分,评价人数,1星,2星,3星,4星,5星
2023-04-04 19:50,8.5,3796,404,63,289,221,2438
2023-04-04 19:51,8.5,3797,405,63,289,221,2438
2023-04-04 19:52,8.5,3797,405,63,289,221,2438
2023-04-04 19:53,8.5,3797,405,63,289,221,2438
2023-04-04 19:54,8.5,3797,405,63,289,221,2438
2023-04-04 19:55,8.5,3797,405,63,289,221,2438
2023-04-04 19:56,8.5,3800,407,63,289,221,2439
2023-04-04 19:57,8.5,3802,407,63,289,221,2440
2023-04-04 19:58,8.5,3803,407,63,289,221,2440
2023-04-04 19:59,8.5,3804,407,63,289,221,2441
2023-04-04 20:00,8.5,3804,407,63,289,221,2441
2023-04-04 20:01,8.5,3804,407,63,289,221,2441
2023-04-04 20:02,8.5,3805,407,63,289,222,2441
2023-04-04 20:03,8.5,3807,407,63,289,222,2442
2023-04-04 20:04,8.5,3810,409,63,289,222,2443
2023-04-04 20:05,8.5,3811,410,63,289,222,2443
2023-04-04 20:06,8.5,3812,411,63,289,222,2443
2023-04-04 20:07,8.5,3812,411,63,289,222,2443
2023-04-04 20:08,8.5,3813,412,63,289,222,2443
2023-04-04 20:09,8.5,3813,412,63,289,222,2443
2023-04-04 20:10,8.5,3813,412,63,289,222,2443
2023-04-04 20:11,8.5,3812,412,63,289,222,2443
2023-04-04 20:12,8.5,3813,412,63,289,222,2444
2023-04-04 20:13,8.5,3813,412,63,289,222,2444
2023-04-04 20:14,8.5,3813,412,63,289,222,2444
2023-04-04 20:15,8.5,3813,412,63,289,222,2444
2023-04-04 20:16,8.5,3815,412,63,289,222,2446
2023-04-04 20:17,8.5,3816,412,63,289,222,2446
2023-04-04 20:18,8.5,3816,412,63,289,222,2446
2023-04-04 20:19,8.5,3816,412,63,289,222,2446
2023-04-04 20:20,8.5,3816,412,63,289,222,2446
2023-04-04 20:21,8.5,3816,412,63,289,222,2446
2023-04-04 20:22,8.5,3816,412,63,289,222,2446
2023-04-04 20:23,8.5,3817,412,63,289,222,2446
2023-04-04 20:24,8.5,3817,412,63,289,222,2446
2023-04-04 20:25,8.5,3818,413,63,289,222,2446
2023-04-04 20:26,8.5,3818,413,63,289,222,2446
2023-04-04 20:27,8.5,3818,413,63,289,222,2446
2023-04-04 20:28,8.5,3818,413,63,289,222,2446
2023-04-04 20:29,8.5,3819,413,63,289,222,2447
2023-04-04 20:30,8.5,3820,413,63,289,222,2448
2023-04-04 20:31,8.5,3822,414,63,289,222,2449
2023-04-04 20:32,8.5,3822,414,63,289,222,2449
2023-04-04 20:33,8.5,3822,414,63,289,222,2449
2023-04-04 20:34,8.5,3822,414,63,289,222,2449
2023-04-04 20:35,8.5,3822,415,63,289,222,2448
2023-04-04 20:37,8.5,3822,415,63,289,222,2448
2023-04-04 20:38,8.5,3822,415,63,289,222,2448
2023-04-04 20:39,8.5,3822,415,63,289,222,2448
2023-04-04 20:40,8.5,3822,415,63,289,222,2448
2023-04-04 20:41,8.5,3822,415,63,289,222,2448
2023-04-04 20:42,8.5,3822,415,63,289,222,2448
2023-04-04 20:43,8.5,3822,415,63,289,222,2448
2023-04-04 20:44,8.5,3822,415,63,289,222,2448
2023-04-04 20:45,8.5,3823,415,63,289,222,2449
2023-04-04 20:46,8.5,3824,415,63,289,222,2449
2023-04-04 20:47,8.5,3824,415,63,289,222,2449
2023-04-04 20:48,8.5,3825,416,63,289,222,2449
2023-04-04 20:49,8.5,3826,416,63,289,222,2450
2023-04-04 20:50,8.5,3826,416,63,289,222,2450
2023-04-04 20:51,8.5,3827,416,63,289,222,2451
2023-04-04 20:52,8.5,3829,416,63,289,223,2451
2023-04-04 20:53,8.5,3829,416,63,289,223,2451
2023-04-04 20:54,8.5,3830,417,63,289,223,2451
2023-04-04 20:55,8.5,3830,417,63,289,223,2451
2023-04-04 20:56,8.5,3830,417,63,289,223,2451
2023-04-04 20:57,8.5,3830,417,63,289,223,2451
2023-04-04 20:58,8.5,3830,417,63,289,223,2451
2023-04-04 20:59,8.5,3830,417,63,289,223,2452
2023-04-04 21:00,8.5,3830,417,63,289,223,2452
2023-04-04 21:01,8.5,3830,417,63,289,223,2452
2023-04-04 21:02,8.5,3830,417,63,289,223,2452
2023-04-04 21:03,8.5,3830,417,63,289,223,2452
2023-04-04 21:04,8.5,3830,417,63,289,223,2452
2023-04-04 21:05,8.5,3830,417,63,289,223,2452
2023-04-04 21:06,8.5,3830,417,63,289,223,2452
2023-04-04 21:07,8.5,3830,417,63,289,223,2452
2023-04-04 21:08,8.5,3830,417,63,289,223,2452
2023-04-04 21:09,8.5,3830,417,63,289,223,2452
2023-04-04 21:10,8.5,3830,417,63,289,223,2452
2023-04-04 21:11,8.5,3832,417,63,289,224,2453
2023-04-04 21:12,8.5,3833,417,63,289,225,2453
2023-04-04 21:13,8.5,3834,417,63,289,225,2454
2023-04-04 21:14,8.5,3834,417,63,289,225,2454
2023-04-04 21:15,8.5,3834,417,63,289,225,2454
2023-04-04 21:16,8.5,3834,417,63,289,225,2454
2023-04-04 21:17,8.5,3835,417,63,289,225,2454
2023-04-04 21:18,8.5,3836,417,63,289,225,2454
2023-04-04 21:19,8.5,3836,417,63,289,225,2454
2023-04-04 21:20,8.5,3836,417,63,289,225,2454
2023-04-04 21:21,8.5,3836,417,63,289,225,2454
2023-04-04 21:22,8.5,3837,418,63,289,225,2454
2023-04-04 21:23,8.5,3837,418,63,289,225,2454
2023-04-04 21:24,8.5,3837,418,63,289,225,2454
2023-04-04 21:25,8.5,3838,418,63,289,225,2455
2023-04-04 21:26,8.5,3840,418,63,289,225,2456
2023-04-04 21:27,8.5,3842,418,63,290,225,2457
2023-04-04 21:28,8.5,3842,418,63,290,225,2457
2023-04-04 21:29,8.5,3842,418,63,290,225,2457
2023-04-04 21:30,8.5,3842,418,63,290,225,2457
2023-04-04 21:31,8.5,3843,418,63,290,225,2457
2023-04-04 21:32,8.5,3843,418,63,290,225,2457
2023-04-04 21:33,8.5,3843,418,63,290,225,2457
2023-04-04 21:34,8.5,3843,418,63,290,225,2457
2023-04-04 21:35,8.5,3844,419,63,290,225,2457
2023-04-04 21:36,8.5,3847,419,63,291,225,2458
2023-04-04 21:37,8.5,3847,419,63,291,225,2458
2023-04-04 21:38,8.5,3847,419,63,291,225,2458
2023-04-04 21:39,8.5,3847,419,63,291,225,2458
2023-04-04 21:40,8.5,3847,419,63,291,225,2458
2023-04-04 21:41,8.5,3847,419,63,291,225,2458
2023-04-04 21:42,8.5,3847,419,63,291,225,2458
2023-04-04 21:43,8.5,3847,419,63,291,225,2458
2023-04-04 21:44,8.5,3847,419,63,291,225,2458
2023-04-04 21:45,8.5,3849,421,63,291,225,2458
2023-04-04 21:46,8.5,3850,422,63,291,225,2458
2023-04-04 21:47,8.5,3850,422,63,291,225,2458
2023-04-04 21:48,8.5,3850,422,63,291,225,2458
2023-04-04 21:49,8.5,3850,422,63,291,225,2458
2023-04-04 21:50,8.5,3850,422,63,291,225,2458
2023-04-04 21:51,8.5,3851,422,63,291,225,2458
2023-04-04 21:52,8.5,3851,422,63,291,225,2458
2023-04-04 21:53,8.5,3852,423,63,291,225,2458
2023-04-04 21:54,8.5,3852,423,63,291,225,2458
2023-04-04 21:55,8.5,3852,423,63,291,225,2458
2023-04-04 21:57,8.5,3852,423,63,291,225,2458
